Vendor,Tax ID,Address,City,Country
Telephone Systems,RO874232,Intrarea Telefoanelor 112,Bucuresti,Romania
Star Software,RO892123,Aleea Rozelor 84,Iasi,Romania
Godmother Catering,RO123456,Strada Flamanda 45,Bucuresti,Romania
Volga Rivers,DE325476,Hoch Strasse 12,Koln,Germany
Maxitronic Limited,DE767565,Bingauer Strasse 45,Koln,Germany
In Advantage Technologies,IT754893,Via del Colosseo,Roma,Italy
Softix Providers,FR065748,Rue Haute 32,Lyon,France
Minitronic Systems,FR453231,Rue Saint Denis 68,Paris,France
Softing Company,IT145632,Via Longa 201,Rimini,Italy
Technology Lake,DE763212,Hauptbahnhoff Strasse 21,Stuttgart,Germany
Red Communications,RU567434,Pobeda Ulitsa 21,Moscow,Russia
Clipboard Papers,RO657483,Strada Agrafei 67,Brasov,Romania
Mecatronic Group,RO094782,Bulevardul Unirii 11,Iasi,Romania
Moretronic Intelligence,DE987564,Bauhaus Strasse 21,Munchen,Germany
